cidade,data,temperatura_maxima,temperatura_minima
São Paulo,2020-03-14 19:37:41.600710,30.94,1.74
Rio de Janeiro,2020-03-14 19:37:41.600710,38.17,13.07
Belo Horizonte,2020-03-14 19:37:41.600710,20.17,5.65
Porto Alegre,2020-03-14 19:37:41.600710,30.25,16.8
Salvador,2020-03-14 19:37:41.600710,15.29,-2.06
Curitiba,2020-03-14 19:37:41.600710,15.54,9.2
Fortaleza,2020-03-14 19:37:41.600710,35.62,33.4
Recife,2020-03-14 19:37:41.600710,34.52,15.88
Brasília,2020-03-14 19:37:41.600710,38.97,7.73
Manaus,2020-03-14 19:37:41.600710,28.76,1.09
São Paulo,2020-03-15 19:37:41.600710,31.69,10.83
Rio de Janeiro,2020-03-15 19:37:41.600710,35.63,8.67
Belo Horizonte,2020-03-15 19:37:41.600710,20.31,0.18
Porto Alegre,2020-03-15 19:37:41.600710,32.17,17.18
Salvador,2020-03-15 19:37:41.600710,25.63,15.83
Curitiba,2020-03-15 19:37:41.600710,18.86,2.69
Fortaleza,2020-03-15 19:37:41.600710,32.83,8.19
Recife,2020-03-15 19:37:41.600710,17.64,10.6
Brasília,2020-03-15 19:37:41.600710,31.83,26.61
Manaus,2020-03-15 19:37:41.600710,16.63,2.94
São Paulo,2020-03-16 19:37:41.600710,26.13,21.47
Rio de Janeiro,2020-03-16 19:37:41.600710,31.32,2.14
Belo Horizonte,2020-03-16 19:37:41.600710,16.62,7.44
Porto Alegre,2020-03-16 19:37:41.600710,33.47,8.21
Salvador,2020-03-16 19:37:41.600710,28.58,-9.32
Curitiba,2020-03-16 19:37:41.600710,35.89,4.4
Fortaleza,2020-03-16 19:37:41.600710,28.11,19.24
Recife,2020-03-16 19:37:41.600710,30.36,12.48
Brasília,2020-03-16 19:37:41.600710,28.8,24.34
Manaus,2020-03-16 19:37:41.600710,16.19,15.64
São Paulo,2020-03-17 19:37:41.600710,22.04,11.85
Rio de Janeiro,2020-03-17 19:37:41.600710,15.08,1.6
Belo Horizonte,2020-03-17 19:37:41.600710,32.76,30.74
Porto Alegre,2020-03-17 19:37:41.600710,23.67,-9.35
Salvador,2020-03-17 19:37:41.600710,30.58,2.87
Curitiba,2020-03-17 19:37:41.600710,28.12,4.92
Fortaleza,2020-03-17 19:37:41.600710,29.6,0.95
Recife,2020-03-17 19:37:41.600710,36.77,10.43
Brasília,2020-03-17 19:37:41.600710,27.44,-0.91
Manaus,2020-03-17 19:37:41.600710,38.9,15.02
São Paulo,2020-03-18 19:37:41.600710,28.04,10.13
Rio de Janeiro,2020-03-18 19:37:41.600710,17.98,10.78
Belo Horizonte,2020-03-18 19:37:41.600710,21.96,-8.62
Porto Alegre,2020-03-18 19:37:41.600710,34.78,-7.34
Salvador,2020-03-18 19:37:41.600710,34.31,-5.85
Curitiba,2020-03-18 19:37:41.600710,32.89,16.51
Fortaleza,2020-03-18 19:37:41.600710,18.1,16.27
Recife,2020-03-18 19:37:41.600710,39.38,9.66
Brasília,2020-03-18 19:37:41.600710,31.2,27.88
Manaus,2020-03-18 19:37:41.600710,15.55,8.2
São Paulo,2020-03-19 19:37:41.600710,38.34,18.26
Rio de Janeiro,2020-03-19 19:37:41.600710,17.91,-2.54
Belo Horizonte,2020-03-19 19:37:41.600710,32.94,31.9
Porto Alegre,2020-03-19 19:37:41.600710,24.51,20.54
Salvador,2020-03-19 19:37:41.600710,24.7,-2.24
Curitiba,2020-03-19 19:37:41.600710,20.66,-4.68
Fortaleza,2020-03-19 19:37:41.600710,15.16,-1.67
Recife,2020-03-19 19:37:41.600710,37.68,33.77
Brasília,2020-03-19 19:37:41.600710,39.3,31.25
Manaus,2020-03-19 19:37:41.600710,31.89,16.04
São Paulo,2020-03-20 19:37:41.600710,35.96,26.15
Rio de Janeiro,2020-03-20 19:37:41.600710,15.77,5.04
Belo Horizonte,2020-03-20 19:37:41.600710,30.64,-7.11
Porto Alegre,2020-03-20 19:37:41.600710,25.23,22.97
Salvador,2020-03-20 19:37:41.600710,36.0,13.62
Curitiba,2020-03-20 19:37:41.600710,18.72,-4.32
Fortaleza,2020-03-20 19:37:41.600710,23.25,0.93
Recife,2020-03-20 19:37:41.600710,25.37,-8.87
Brasília,2020-03-20 19:37:41.600710,25.9,5.39
Manaus,2020-03-20 19:37:41.600710,24.65,15.79
São Paulo,2020-03-21 19:37:41.600710,24.14,13.97
Rio de Janeiro,2020-03-21 19:37:41.600710,24.79,-5.61
Belo Horizonte,2020-03-21 19:37:41.600710,38.19,37.33
Porto Alegre,2020-03-21 19:37:41.600710,16.82,7.17
Salvador,2020-03-21 19:37:41.600710,34.53,5.31
Curitiba,2020-03-21 19:37:41.600710,15.04,13.88
Fortaleza,2020-03-21 19:37:41.600710,22.06,12.88
Recife,2020-03-21 19:37:41.600710,36.83,0.46
Brasília,2020-03-21 19:37:41.600710,32.61,9.12
Manaus,2020-03-21 19:37:41.600710,18.09,12.54
São Paulo,2020-03-22 19:37:41.600710,16.32,2.97
Rio de Janeiro,2020-03-22 19:37:41.600710,25.33,-3.47
Belo Horizonte,2020-03-22 19:37:41.600710,17.75,-9.81
Porto Alegre,2020-03-22 19:37:41.600710,16.56,16.2
Salvador,2020-03-22 19:37:41.600710,27.19,23.93
Curitiba,2020-03-22 19:37:41.600710,29.99,8.1
Fortaleza,2020-03-22 19:37:41.600710,20.15,13.56
Recife,2020-03-22 19:37:41.600710,25.98,24.5
Brasília,2020-03-22 19:37:41.600710,17.89,0.45
Manaus,2020-03-22 19:37:41.600710,26.64,17.98
São Paulo,2020-03-23 19:37:41.600710,16.28,-0.96
Rio de Janeiro,2020-03-23 19:37:41.600710,30.65,29.05
Belo Horizonte,2020-03-23 19:37:41.600710,27.06,-8.75
Porto Alegre,2020-03-23 19:37:41.600710,25.18,-2.0
Salvador,2020-03-23 19:37:41.600710,17.53,12.61
Curitiba,2020-03-23 19:37:41.600710,20.97,15.47
Fortaleza,2020-03-23 19:37:41.600710,32.74,13.66
Recife,2020-03-23 19:37:41.600710,15.98,12.1
Brasília,2020-03-23 19:37:41.600710,32.94,2.95
Manaus,2020-03-23 19:37:41.600710,36.57,7.03
São Paulo,2020-03-24 19:37:41.600710,31.1,30.96
Rio de Janeiro,2020-03-24 19:37:41.600710,22.05,13.33
Belo Horizonte,2020-03-24 19:37:41.600710,23.97,7.29
Porto Alegre,2020-03-24 19:37:41.600710,31.29,-2.95
Salvador,2020-03-24 19:37:41.600710,23.51,-5.32
Curitiba,2020-03-24 19:37:41.600710,20.42,15.44
Fortaleza,2020-03-24 19:37:41.600710,17.21,14.46
Recife,2020-03-24 19:37:41.600710,24.56,15.61
Brasília,2020-03-24 19:37:41.600710,39.35,37.31
Manaus,2020-03-24 19:37:41.600710,25.96,0.11
São Paulo,2020-03-25 19:37:41.600710,26.14,23.5
Rio de Janeiro,2020-03-25 19:37:41.600710,17.27,2.99
Belo Horizonte,2020-03-25 19:37:41.600710,30.22,27.71
Porto Alegre,2020-03-25 19:37:41.600710,24.97,8.73
Salvador,2020-03-25 19:37:41.600710,18.94,13.5
Curitiba,2020-03-25 19:37:41.600710,24.42,-7.36
Fortaleza,2020-03-25 19:37:41.600710,36.64,-9.49
Recife,2020-03-25 19:37:41.600710,27.95,26.46
