idade,escolaridade,estado_civil,gastos_mensais,cidade,genero,renda
56,Pós-graduação,Casado,3999.39,Salvador,Feminino,6770.75
69,Médio,Solteiro,3518.72,Rio de Janeiro,Feminino,4595.16
46,Superior,Casado,2516.15,Belo Horizonte,Feminino,7223.94
32,Fundamental,Casado,2217.18,Rio de Janeiro,Masculino,5048.65
60,Superior,Divorciado,3793.75,Porto Alegre,Masculino,6797.94
25,Pós-graduação,Solteiro,2260.2,Belo Horizonte,Feminino,5891.42
38,Fundamental,Divorciado,2133.97,Porto Alegre,Feminino,4126.25
56,Fundamental,Casado,2517.02,Salvador,Masculino,4851.77
36,Médio,Solteiro,2072.7,São Paulo,Feminino,6110.77
40,Fundamental,Casado,2544.09,Porto Alegre,Masculino,4916.95
28,Superior,Divorciado,1921.28,Salvador,Masculino,5502.24
28,Pós-graduação,Solteiro,2913.5,Rio de Janeiro,Feminino,6717.28
41,Médio,Divorciado,2060.62,Porto Alegre,Feminino,4278.96
53,Médio,Casado,2943.29,Salvador,Feminino,4034.59
57,Médio,Casado,2836.28,São Paulo,Feminino,7078.47
41,Superior,Casado,2682.68,Porto Alegre,Feminino,4835.02
20,Fundamental,Solteiro,1384.56,Salvador,Masculino,2865.49
39,Médio,Divorciado,2967.38,Porto Alegre,Feminino,2863.24
19,Superior,Divorciado,2153.97,São Paulo,Masculino,4951.86
41,Superior,Casado,2304.01,Porto Alegre,Feminino,5040.57
61,Médio,Divorciado,2586.78,Porto Alegre,Feminino,4897.28
47,Superior,Solteiro,3033.78,Salvador,Feminino,4950.37
55,Fundamental,Casado,2430.99,Belo Horizonte,Feminino,5965.63
19,Fundamental,Casado,1387.9,Porto Alegre,Feminino,2762.94
38,Superior,Casado,2935.78,Belo Horizonte,Feminino,4866.38
50,Superior,Solteiro,3269.22,Rio de Janeiro,Masculino,7769.69
29,Fundamental,Casado,1698.64,Porto Alegre,Feminino,5612.4
39,Médio,Casado,2521.26,Belo Horizonte,Feminino,3545.76
61,Médio,Casado,2616.82,Rio de Janeiro,Feminino,5804.85
42,Médio,Casado,2768.06,Salvador,Feminino,3361.71
66,Médio,Divorciado,3141.26,Porto Alegre,Masculino,5962.03
44,Fundamental,Casado,2407.05,Salvador,Masculino,5155.37
59,Médio,Solteiro,2654.56,Rio de Janeiro,Masculino,5903.62
45,Superior,Casado,2667.4,Salvador,Masculino,5311.63
33,Superior,Casado,1792.05,Salvador,Masculino,5683.96
32,Superior,Divorciado,2371.76,São Paulo,Masculino,6839.67
64,Fundamental,Casado,2916.85,Rio de Janeiro,Feminino,7754.04
68,Pós-graduação,Divorciado,3492.17,Salvador,Feminino,7817.47
61,Superior,Solteiro,3577.02,Belo Horizonte,Masculino,7402.34
69,Superior,Divorciado,3521.89,Rio de Janeiro,Feminino,8055.78
20,Superior,Casado,2464.41,São Paulo,Feminino,3765.72
54,Pós-graduação,Solteiro,3414.9,Porto Alegre,Feminino,9222.2
68,Médio,Casado,3410.93,Salvador,Feminino,5697.48
24,Médio,Divorciado,1585.29,Belo Horizonte,Feminino,3806.8
38,Superior,Solteiro,2624.91,São Paulo,Masculino,7346.32
26,Superior,Solteiro,2344.68,Rio de Janeiro,Masculino,6396.06
56,Superior,Divorciado,3167.5,Salvador,Masculino,5333.01
35,Médio,Divorciado,2141.31,São Paulo,Masculino,5424.68
21,Fundamental,Solteiro,1052.64,São Paulo,Masculino,4546.63
42,Médio,Solteiro,2218.18,Belo Horizonte,Masculino,2430.16
31,Pós-graduação,Divorciado,2905.87,Porto Alegre,Feminino,8216.04
67,Médio,Casado,2414.06,Porto Alegre,Masculino,4972.68
26,Médio,Solteiro,1972.74,Porto Alegre,Feminino,4295.57
43,Médio,Divorciado,2016.59,Rio de Janeiro,Feminino,4814.0
19,Médio,Casado,1852.7,São Paulo,Masculino,3416.79
37,Superior,Solteiro,2635.79,Rio de Janeiro,Masculino,6271.08
45,Superior,Solteiro,2677.72,São Paulo,Masculino,8871.72
64,Superior,Divorciado,3721.41,Belo Horizonte,Feminino,8712.94
24,Médio,Casado,2218.56,Belo Horizonte,Masculino,2665.47
61,Superior,Solteiro,3341.55,Rio de Janeiro,Masculino,8797.34
25,Médio,Casado,2162.47,Rio de Janeiro,Masculino,4273.37
64,Superior,Casado,3367.16,Belo Horizonte,Feminino,8718.31
52,Médio,Solteiro,2848.7,Salvador,Masculino,5752.87
31,Médio,Casado,1819.76,Porto Alegre,Masculino,3829.06
34,Superior,Solteiro,3067.77,Porto Alegre,Feminino,5281.38
53,Pós-graduação,Casado,3913.19,Belo Horizonte,Feminino,8258.39
67,Fundamental,Solteiro,3151.1,Porto Alegre,Feminino,5833.51
57,Superior,Divorciado,2449.84,Salvador,Masculino,5247.36
21,Médio,Solteiro,1764.64,Salvador,Masculino,3257.81
19,Médio,Solteiro,1199.52,São Paulo,Feminino,3298.32
23,Fundamental,Solteiro,1795.98,Rio de Janeiro,Masculino,3620.31
59,Médio,Casado,3153.25,Porto Alegre,Feminino,6064.55
21,Médio,Divorciado,1836.7,Salvador,Feminino,3253.75
46,Fundamental,Casado,2637.61,Rio de Janeiro,Feminino,4845.48
35,Médio,Casado,1938.09,Rio de Janeiro,Feminino,3538.13
43,Pós-graduação,Solteiro,2832.62,São Paulo,Feminino,7373.95
61,Fundamental,Casado,2598.57,Rio de Janeiro,Masculino,5990.56
51,Superior,Solteiro,2931.08,Rio de Janeiro,Masculino,8735.86
27,Médio,Divorciado,1805.78,Belo Horizonte,Masculino,2300.92
53,Superior,Casado,3470.74,São Paulo,Masculino,7444.76
31,Médio,Casado,2149.17,São Paulo,Feminino,4957.12
48,Fundamental,Casado,3105.92,Porto Alegre,Masculino,5622.64
65,Fundamental,Solteiro,2649.61,Rio de Janeiro,Feminino,6374.88
32,Fundamental,Solteiro,2309.19,Porto Alegre,Feminino,4007.98
25,Fundamental,Casado,2012.61,Salvador,Masculino,4432.1
31,Superior,Casado,2395.03,Rio de Janeiro,Masculino,5272.94
40,Superior,Divorciado,2411.71,Salvador,Feminino,6291.21
57,Superior,Divorciado,3025.36,Belo Horizonte,Masculino,4956.03
38,Superior,Divorciado,2440.93,Rio de Janeiro,Masculino,6464.19
33,Fundamental,Divorciado,2503.2,Porto Alegre,Masculino,3412.65
62,Médio,Divorciado,3108.48,Porto Alegre,Masculino,4377.9
