COL_DATA,COL_RECEITA,COL_CUSTO,COL_CATEGORIA,COL_REGIAO,DISTANCIA,UNIDADE
2024-01-21,5859,5235,Miscelânea,Centro,420.77,km
2024-07-16,9414,3008,Miscelânea,Leste,192.07,mi
2025-07-30,2824,1787,Serviços,Oeste,212.94,mi
2024-12-17,9980,6592,Serviços,Sul,411.66,km
2025-02-19,6739,2423,Eletrônicos,Centro,109.78,mi
2025-02-03,1245,565,Miscelânea,Norte,90.53,mi
2024-02-22,4174,3692,Serviços,Sul,312.01,km
2025-10-14,8675,4073,Roupas,Leste,243.43,mi
2024-02-02,2862,1991,Alimentos,Oeste,87.58,mi
2024-10-07,9909,6155,Roupas,Norte,310.37,mi
2025-08-04,9115,6469,Roupas,Oeste,329.87,mi
2024-05-09,3732,2695,Alimentos,Leste,237.53,km
2024-01-24,9982,6519,Serviços,Sul,181.97,km
2024-05-04,4893,1785,Eletrônicos,Centro,108.51,mi
2024-09-19,2706,1089,Eletrônicos,Oeste,390.16,km
2024-01-10,2099,808,Alimentos,Oeste,71.65,mi
2024-04-05,4001,1942,Alimentos,Oeste,252.81,mi
2025-02-23,7382,2617,Eletrônicos,Centro,377.22,km
2025-03-13,2836,890,Alimentos,Leste,316.35,km
2024-02-28,3727,2627,Alimentos,Leste,338.61,mi
2024-01-05,9562,6649,Miscelânea,Centro,166.03,mi
2025-07-24,1981,1524,Serviços,Norte,169.58,mi
2025-03-01,9701,8244,Roupas,Centro,314.19,mi
2024-12-01,1352,1168,Eletrônicos,Leste,449.63,km
2025-07-21,1652,1450,Roupas,Oeste,92.49,mi
2024-12-18,3760,1616,Roupas,Centro,120.27,km
2024-03-13,754,640,Serviços,Leste,135.95,km
2025-03-06,2792,1769,Alimentos,Centro,378.35,mi
2024-10-19,1008,543,Miscelânea,Leste,326.64,km
2024-12-05,3275,7959,Alimentos,Norte,295.69,km
2025-05-01,509,231,Alimentos,Oeste,96.31,km
2024-10-30,3218,2166,Roupas,Centro,379.72,mi
2024-03-12,3602,1376,Serviços,Norte,495.42,km
2024-02-06,3114,2159,Alimentos,Centro,241.73,mi
2024-01-11,1878,1293,Serviços,Sul,484.48,mi
2024-06-24,3094,7842,Alimentos,Norte,155.84,km
2024-12-13,4359,3701,Eletrônicos,Oeste,406.29,mi
